2023-03-06 20:44:41,963	shift	pressed
2023-03-06 20:44:42,243	s	pressed
2023-03-06 20:44:42,427	a	pressed
2023-03-06 20:44:42,443	s	released
2023-03-06 20:44:42,555	w	pressed
2023-03-06 20:44:42,635	a	released
2023-03-06 20:44:42,643	e	pressed
2023-03-06 20:44:42,691	w	released
2023-03-06 20:44:42,867	e	released
2023-03-06 20:44:43,019	shift	released
2023-03-06 20:44:43,442	shift	pressed
2023-03-06 20:44:43,618	w	pressed
2023-03-06 20:44:44,120	w	pressed
2023-03-06 20:44:44,167	w	pressed
2023-03-06 20:44:44,198	w	pressed
2023-03-06 20:44:44,230	w	pressed
2023-03-06 20:44:44,261	w	pressed
2023-03-06 20:44:44,293	w	pressed
2023-03-06 20:44:44,325	w	pressed
2023-03-06 20:44:44,356	w	pressed
2023-03-06 20:44:44,387	w	pressed
2023-03-06 20:44:44,418	w	pressed
2023-03-06 20:44:44,449	w	pressed
2023-03-06 20:44:44,496	w	pressed
2023-03-06 20:44:44,528	w	pressed
2023-03-06 20:44:44,560	w	pressed
2023-03-06 20:44:44,592	w	pressed
2023-03-06 20:44:44,624	w	pressed
2023-03-06 20:44:44,656	w	pressed
2023-03-06 20:44:44,687	w	pressed
2023-03-06 20:44:44,719	w	pressed
2023-03-06 20:44:44,751	w	pressed
2023-03-06 20:44:44,782	w	pressed
2023-03-06 20:44:44,813	w	pressed
2023-03-06 20:44:44,851	d	pressed
2023-03-06 20:44:44,899	w	released
2023-03-06 20:44:44,995	s	pressed
2023-03-06 20:44:45,011	a	pressed
2023-03-06 20:44:45,051	d	released
2023-03-06 20:44:45,155	d	pressed
2023-03-06 20:44:45,195	space	pressed
2023-03-06 20:44:45,243	s	released
2023-03-06 20:44:45,267	a	released
2023-03-06 20:44:45,355	space	released
2023-03-06 20:44:45,459	space	pressed
2023-03-06 20:44:45,571	space	released
2023-03-06 20:44:45,572	a	pressed
2023-03-06 20:44:45,578	s	pressed
2023-03-06 20:44:45,618	d	released
2023-03-06 20:44:45,731	space	pressed
2023-03-06 20:44:45,771	d	pressed
2023-03-06 20:44:45,835	space	released
2023-03-06 20:44:45,995	space	pressed
2023-03-06 20:44:46,148	space	released
2023-03-06 20:44:46,283	s	released
2023-03-06 20:44:46,291	d	released
2023-03-06 20:44:46,323	a	released
2023-03-06 20:44:46,331	shift	released
2023-03-06 20:44:50,795	shift	pressed
2023-03-06 20:44:51,123	shift	released
